Map_Value_Code,Second_Iteration_Code,FIrst_Iteration_Code,FIA_Ownership_Code,FIA_Ownership_Description,Land_Cover_Code,Land_Cover_Description,cover_clean,owner_clean,CLASS1_FULL,CLASS2_MAP,CLASS2_MAP_CODE,CLASS3_ERROR,CLASS3_ERROR_CODE,CLASS4_MAP,CLASS4_DESCRIPTION
0,,,,,,,-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,0,Unknown
1,-101,,,,-1,"No NLCD Data, Used Fill Value",-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
2,2499,,25,Federal,-1,"No NLCD Data, Used Fill Value",-1,25,OWNER: 25 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
3,3099,,31,State,-1,"No NLCD Data, Used Fill Value",-1,31,OWNER: 31 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
4,3199,,32,"Local (county, municipal, etc.)",-1,"No NLCD Data, Used Fill Value",-1,32,OWNER: 32 / COVER: -1,public non-forest,10,ownership data only,2,1,Non-Forest
5,3299,,,,-1,,-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
6,4099,,41,Corporate,-1,"No NLCD Data, Used Fill Value",-1,41,OWNER: 41 / COVER: -1,corporate non-forest,2,ownership data only,2,1,Non-Forest
7,4199,,42,Nongovernmental conservation/natural resources organization,-1,"No NLCD Data, Used Fill Value",-1,42,OWNER: 42 / COVER: -1,other private non-forest,8,ownership data only,2,1,Non-Forest
8,4299,,43,Unincorporated local partnership/association/club,-1,"No NLCD Data, Used Fill Value",-1,43,OWNER: 43 / COVER: -1,other private non-forest,8,ownership data only,2,1,Non-Forest
9,4399,,44,Native American,-1,"No NLCD Data, Used Fill Value",-1,44,OWNER: 44 / COVER: -1,indigenous non-forest,6,ownership data only,2,1,Non-Forest
10,4499,,45,Family,-1,"No NLCD Data, Used Fill Value",-1,45,OWNER: 45 / COVER: -1,family non-forest,4,ownership data only,2,1,Non-Forest
11,,-99999.01,0,PRCLDMPID in table but not in ID_Dict,-1,"No NLCD Data, Used Fill Value",-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
12,,-99998.99,0,PRCLDMPID in table but not in ID_Dict,11,Open Water,11,-1,OWNER: -1 / COVER: 11,water,0,cover data only,1,2,Water
13,,-99998.98,0,PRCLDMPID in table but not in ID_Dict,21,"Developed, Open Space",21,-1,OWNER: -1 / COVER: 21,unknown non-forest,12,cover data only,1,1,Non-Forest
14,,-99998.97,0,PRCLDMPID in table but not in ID_Dict,22,"Developed, Low Intensity",22,-1,OWNER: -1 / COVER: 22,unknown non-forest,12,cover data only,1,1,Non-Forest
15,,-99998.96,0,PRCLDMPID in table but not in ID_Dict,23,"Developed, Medium Intensity",23,-1,OWNER: -1 / COVER: 23,unknown non-forest,12,cover data only,1,1,Non-Forest
16,,-99998.95,0,PRCLDMPID in table but not in ID_Dict,24,"Developed, High Intensity",24,-1,OWNER: -1 / COVER: 24,unknown non-forest,12,cover data only,1,1,Non-Forest
17,,-99998.94,0,PRCLDMPID in table but not in ID_Dict,31,Barren Land,31,-1,OWNER: -1 / COVER: 31,unknown non-forest,12,cover data only,1,1,Non-Forest
18,,-99998.93,0,PRCLDMPID in table but not in ID_Dict,41,Deciduous Forest,41,-1,OWNER: -1 / COVER: 41,unknown forest,11,cover data only,1,0,Unknown Forest
19,,-99998.92,0,PRCLDMPID in table but not in ID_Dict,42,Evergreen Forest,42,-1,OWNER: -1 / COVER: 42,unknown forest,11,cover data only,1,0,Unknown Forest
20,,-99998.91,0,PRCLDMPID in table but not in ID_Dict,43,Mixed Forest,43,-1,OWNER: -1 / COVER: 43,unknown forest,11,cover data only,1,0,Unknown Forest
21,,-99998.89,0,PRCLDMPID in table but not in ID_Dict,52,Shrub/Scrub,52,-1,OWNER: -1 / COVER: 52,unknown non-forest,12,cover data only,1,1,Non-Forest
22,,-99998.88,0,PRCLDMPID in table but not in ID_Dict,71,Herbaceuous,71,-1,OWNER: -1 / COVER: 71,unknown non-forest,12,cover data only,1,1,Non-Forest
23,,-99998.87,0,PRCLDMPID in table but not in ID_Dict,81,Hay/Pasture,81,-1,OWNER: -1 / COVER: 81,unknown non-forest,12,cover data only,1,1,Non-Forest
24,,-99998.86,0,PRCLDMPID in table but not in ID_Dict,82,Cultivated Crops,82,-1,OWNER: -1 / COVER: 82,unknown non-forest,12,cover data only,1,1,Non-Forest
25,,-99998.85,0,PRCLDMPID in table but not in ID_Dict,90,Woody Wetlands,90,-1,OWNER: -1 / COVER: 90,unknown forest,11,cover data only,1,0,Unknown Forest
26,,-99998.84,0,PRCLDMPID in table but not in ID_Dict,95,Emergent Herbaceuous Wetlands,95,-1,OWNER: -1 / COVER: 95,unknown non-forest,12,cover data only,1,1,Non-Forest
27,,99999.01,0,Unmarked Public,11,Open Water,11,-1,OWNER: -1 / COVER: 11,water,0,cover data only,1,2,Water
28,,99999.02,0,Unmarked Public,21,"Developed, Open Space",21,-1,OWNER: -1 / COVER: 21,unknown non-forest,12,cover data only,1,1,Non-Forest
29,,99999.03,0,Unmarked Public,22,"Developed, Low Intensity",22,-1,OWNER: -1 / COVER: 22,unknown non-forest,12,cover data only,1,1,Non-Forest
30,,99999.04,0,Unmarked Public,23,"Developed, Medium Intensity",23,-1,OWNER: -1 / COVER: 23,unknown non-forest,12,cover data only,1,1,Non-Forest
31,,99999.05,0,Unmarked Public,24,"Developed, High Intensity",24,-1,OWNER: -1 / COVER: 24,unknown non-forest,12,cover data only,1,1,Non-Forest
32,,99999.06,0,Unmarked Public,31,Barren Land,31,-1,OWNER: -1 / COVER: 31,unknown non-forest,12,cover data only,1,1,Non-Forest
33,,99999.07,0,Unmarked Public,41,Deciduous Forest,41,-1,OWNER: -1 / COVER: 41,unknown forest,11,cover data only,1,0,Unknown Forest
34,,99999.08,0,Unmarked Public,42,Evergreen Forest,42,-1,OWNER: -1 / COVER: 42,unknown forest,11,cover data only,1,0,Unknown Forest
35,,99999.09,0,Unmarked Public,43,Mixed Forest,43,-1,OWNER: -1 / COVER: 43,unknown forest,11,cover data only,1,0,Unknown Forest
36,,99999.11,0,Unmarked Public,52,Shrub/Scrub,52,-1,OWNER: -1 / COVER: 52,unknown non-forest,12,cover data only,1,1,Non-Forest
37,,99999.12,0,Unmarked Public,71,Herbaceuous,71,-1,OWNER: -1 / COVER: 71,unknown non-forest,12,cover data only,1,1,Non-Forest
38,,99999.13,0,Unmarked Public,81,Hay/Pasture,81,-1,OWNER: -1 / COVER: 81,unknown non-forest,12,cover data only,1,1,Non-Forest
39,,99999.14,0,Unmarked Public,82,Cultivated Crops,82,-1,OWNER: -1 / COVER: 82,unknown non-forest,12,cover data only,1,1,Non-Forest
40,,99999.15,0,Unmarked Public,90,Woody Wetlands,90,-1,OWNER: -1 / COVER: 90,unknown forest,11,cover data only,1,0,Unknown Forest
41,,99999.16,0,Unmarked Public,95,Emergent Herbaceuous Wetlands,95,-1,OWNER: -1 / COVER: 95,unknown non-forest,12,cover data only,1,1,Non-Forest
42,,,0,Unknown,,,-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
43,-9901,,0,Null ownership DMP Data,-1,"No NLCD Data, Used Fill Value",-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
44,-9805,-98.84,0,Null ownership DMP Data,95,Emergent Herbaceuous Wetlands,95,-1,OWNER: -1 / COVER: 95,unknown non-forest,12,cover data only,1,1,Non-Forest
45,-9810,-98.85,0,Null ownership DMP Data,90,Woody Wetlands,90,-1,OWNER: -1 / COVER: 90,unknown forest,11,cover data only,1,0,Unknown Forest
46,-9818,-98.86,0,Null ownership DMP Data,82,Cultivated Crops,82,-1,OWNER: -1 / COVER: 82,unknown non-forest,12,cover data only,1,1,Non-Forest
47,-9819,-98.87,0,Null ownership DMP Data,81,Hay/Pasture,81,-1,OWNER: -1 / COVER: 81,unknown non-forest,12,cover data only,1,1,Non-Forest
48,-9826,,0,Null ownership DMP Data,74,Moss,74,-1,OWNER: -1 / COVER: 74,unknown non-forest,12,cover data only,1,1,Non-Forest
49,-9827,,0,Null ownership DMP Data,73,Lichens,73,-1,OWNER: -1 / COVER: 73,unknown non-forest,12,cover data only,1,1,Non-Forest
50,-9828,,0,Null ownership DMP Data,72,Sedge/Herbaceous,72,-1,OWNER: -1 / COVER: 72,unknown non-forest,12,cover data only,1,1,Non-Forest
51,-9829,-98.88,0,Null ownership DMP Data,71,Herbaceuous,71,-1,OWNER: -1 / COVER: 71,unknown non-forest,12,cover data only,1,1,Non-Forest
52,-9848,-98.89,0,Null ownership DMP Data,52,Shrub/Scrub,52,-1,OWNER: -1 / COVER: 52,unknown non-forest,12,cover data only,1,1,Non-Forest
53,-9849,,0,Null ownership DMP Data,51,Dwarf Scrub,51,-1,OWNER: -1 / COVER: 51,unknown non-forest,12,cover data only,1,1,Non-Forest
54,-9857,-98.91,0,Null ownership DMP Data,43,Mixed Forest,43,-1,OWNER: -1 / COVER: 43,unknown forest,11,cover data only,1,0,Unknown Forest
55,-9858,-98.92,0,Null ownership DMP Data,42,Evergreen Forest,42,-1,OWNER: -1 / COVER: 42,unknown forest,11,cover data only,1,0,Unknown Forest
56,-9859,-98.93,0,Null ownership DMP Data,41,Deciduous Forest,41,-1,OWNER: -1 / COVER: 41,unknown forest,11,cover data only,1,0,Unknown Forest
57,-9869,-98.94,0,Null ownership DMP Data,31,Barren Land,31,-1,OWNER: -1 / COVER: 31,unknown non-forest,12,cover data only,1,1,Non-Forest
58,-9876,-98.95,0,Null ownership DMP Data,24,"Developed, High Intensity",24,-1,OWNER: -1 / COVER: 24,unknown non-forest,12,cover data only,1,1,Non-Forest
59,-9877,-98.96,0,Null ownership DMP Data,23,"Developed, Medium Intensity",23,-1,OWNER: -1 / COVER: 23,unknown non-forest,12,cover data only,1,1,Non-Forest
60,-9878,-98.97,0,Null ownership DMP Data,22,"Developed, Low Intensity",22,-1,OWNER: -1 / COVER: 22,unknown non-forest,12,cover data only,1,1,Non-Forest
61,-9879,-98.98,0,Null ownership DMP Data,21,"Developed, Open Space",21,-1,OWNER: -1 / COVER: 21,unknown non-forest,12,cover data only,1,1,Non-Forest
62,-9888,,0,Null ownership DMP Data,12,Perennial Ice/Snow,12,-1,OWNER: -1 / COVER: 12,unknown non-forest,12,cover data only,1,1,Non-Forest
63,-9889,-98.99,0,Null ownership DMP Data,11,Open Water,11,-1,OWNER: -1 / COVER: 11,water,0,cover data only,1,2,Water
64,-9900,,0,Null ownership DMP Data,0,Unclassified,-1,-1,OWNER: -1 / COVER: -1,unknown non-forest,12,no data,0,1,Non-Forest
65,-5,,0,Unmarked Public/Unknown,95,Emergent Herbaceuous Wetlands,95,-1,OWNER: -1 / COVER: 95,unknown non-forest,12,cover data only,1,1,Non-Forest
66,-10,,0,Unmarked Public/Unknown,90,Woody Wetlands,90,-1,OWNER: -1 / COVER: 90,unknown forest,11,cover data only,1,0,Unknown Forest
67,-18,,0,Unmarked Public/Unknown,82,Cultivated Crops,82,-1,OWNER: -1 / COVER: 82,unknown non-forest,12,cover data only,1,1,Non-Forest
68,-19,,0,Unmarked Public/Unknown,81,Hay/Pasture,81,-1,OWNER: -1 / COVER: 81,unknown non-forest,12,cover data only,1,1,Non-Forest
69,-26,,0,Unmarked Public/Unknown,74,Moss,74,-1,OWNER: -1 / COVER: 74,unknown non-forest,12,cover data only,1,1,Non-Forest
70,-27,,0,Unmarked Public/Unknown,73,Lichens,73,-1,OWNER: -1 / COVER: 73,unknown non-forest,12,cover data only,1,1,Non-Forest
71,-28,,0,Unmarked Public/Unknown,72,Sedge/Herbaceous,72,-1,OWNER: -1 / COVER: 72,unknown non-forest,12,cover data only,1,1,Non-Forest
72,-29,,0,Unmarked Public/Unknown,71,Herbaceuous,71,-1,OWNER: -1 / COVER: 71,unknown non-forest,12,cover data only,1,1,Non-Forest
73,-48,,0,Unmarked Public/Unknown,52,Shrub/Scrub,52,-1,OWNER: -1 / COVER: 52,unknown non-forest,12,cover data only,1,1,Non-Forest
74,-49,,0,Unmarked Public/Unknown,51,Dwarf Scrub,51,-1,OWNER: -1 / COVER: 51,unknown non-forest,12,cover data only,1,1,Non-Forest
75,-57,,0,Unmarked Public/Unknown,43,Mixed Forest,43,-1,OWNER: -1 / COVER: 43,unknown forest,11,cover data only,1,0,Unknown Forest
